,,,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES
PREPARING THE SAMPLES,Choose the temperature at which the final sample after processing will be stored before analysis:,At -80 degree Celsius,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,NA,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Possible but odd
PREPARING THE SAMPLES,Choose the temperature at which the final sample after processing will be stored before analysis:,At -20 degree Celsius,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,NA,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Possible but odd
PREPARING THE SAMPLES,Choose the temperature at which the final sample after processing will be stored before analysis:,At +4 degree Celsius,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,NA,NA,NA,NA,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Possible but odd
PREPARING THE SAMPLES,Choose the temperature at which the final sample after processing will be stored before analysis:,At ambient temperature,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Fully compatible,Incompatible,Incompatible,Incompatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Incompatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,NA,NA,NA,NA,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Possible but odd,Possible but odd,Possible but odd
ANALYZING THE SAMPLES,Choose the general type of analysis to perform:,Analyzing the total dry mass of the sample,Incompatible,Incompatible,Fully compatible,Incompatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Fully compatible,Incompatible,Incompatible,Incompatible,Fully compatible,Incompatible,Fully compatible,Incompatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Incompatible,Possible but odd,Possible but odd,Possible but odd,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,NA,NA,NA,NA,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible
ANALYZING THE SAMPLES,Choose the general type of analysis to perform:,Quantifying concentrations in the sample,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,NA,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Incompatible
ANALYZING THE SAMPLES,Choose the general type of analysis to perform:,Identifying compounds in the sample,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,NA,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Incompatible
ANALYZING THE SAMPLES,Choose the general type of analysis to perform:,"Analyzing images (ex: cell counting, fluorescence signal)",Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Fully compatible,Possible but odd,Possible but odd,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,NA,NA,NA,NA,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Possible but odd
ANALYZING THE SAMPLES,Please choose the type of analysis:,"Elemental C & N in solids (ex: CHNS, IRMS)",Possible but odd,Incompatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Fully compatible,Fully compatible,Incompatible,NA,NA,NA,NA,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Incompatible
ANALYZING THE SAMPLES,Please choose the type of analysis:,Dissolved organic C and/or dissolved N (ex : TOC analyzer),Possible but odd,Incompatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Incompatible,NA,NA,NA,NA,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Incompatible
ANALYZING THE SAMPLES,Please choose the type of analysis:,Group analysis by colorimetry (ex: carbohydrates with Dubois method),Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Incompatible,Fully compatible,Fully compatible,Incompatible,NA,NA,NA,NA,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Incompatible
ANALYZING THE SAMPLES,Please choose the type of analysis:,"Molecular analysis (ex: metabolites, nucleic acids)",Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Incompatible,Fully compatible,Fully compatible,Incompatible,NA,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Incompatible
ANALYZING THE SAMPLES,Please select an option for this analysis:,Targeted analysis,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Incompatible,Fully compatible,Possible but odd,Incompatible,Incompatible,Incompatible,Incompatible,Fully compatible,NA,NA,Incompatible,Incompatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Incompatible
